"";"id";"attributes.externalId";"attributes.commercialFollowUp";"attributes.centroidLongitude";"attributes.centroidLatitude"
"684";22695;3035;"Follow up";-0,852561;52,945544
"685";22693;3034;"Follow up";-0,824892;52,972719
"686";22691;3033;"To finance";-77,6060756198568;0,968414536700681
"687";21341;1711;"To finance";-77,6060756198568;0,968414536700681
"688";21305;1693;"Follow up";-76,5086624906711;-6,4219398579898
"689";22689;3032;"Follow up";5,2481;49,4762
"690";22687;3031;"Follow up";-1,680906;46,702897
"691";21205;1641;"To finance";-6,8635;52,863194
"692";21737;2062;"Follow up";-6,46444444;52,7136111
"693";22685;3030;"Follow up";-1,110429;53,862141
"694";21203;1640;"Follow up";-8,490008;37,339672
"695";22683;3029;"Follow up";-1,485938;49,333981
"696";21579;1923;"Follow up";2,21759;45,531999
"697";21509;1855;"Follow up";6,726593;48,10522
"698";21777;2086;"Follow up";6,606222;48,170389
"699";22681;3028;"Follow up";-2,896657;47,951093
"700";22679;3027;"Follow up";-3,345096;47,936202
"701";21465;1816;"Follow up";3,730298;45,729327
"702";21181;1628;"Follow up";97,98639;4,52183
"703";22677;3026;"To finance";-76,1370259152264;-6,56757296960206
"704";21179;1627;"Follow up";-76,139059209222;-6,57077495126155
"705";22675;3025;"Follow up";5,620457;43,616272
"706";22673;3024;"Follow up";-2,538412;47,963382
"707";22671;3023;"Follow up";-1,467229;46,479447
"708";22669;3022;"Follow up";-5,030306;41,852401
"709";22667;3021;"Follow up";22,41975;40,307442
"710";22665;3020;"Follow up";-1,86576;47,857345
"711";21719;2038;"Follow up";1,99519444444444;45,7869444
"712";22663;3019;"Follow up";2,550711;48,427894
"713";22661;3018;"Follow up";0,800319;49,562441
"714";22659;3017;"Follow up";1,33166;49,442245
"715";22657;3016;"Follow up";1,619222;49,855316
"716";21165;1619;"Follow up";6,433933;48,468084
"717";21475;1823;"Follow up";5,84374;45,909376
"718";22655;3014;"Follow up";2,880233;45,808668
"719";22653;3013;"Follow up";-0,000782;46,131946
"720";22651;3012;"To finance";-64,064092;-8,887917
"721";22649;3011;"Follow up";2,530092;43,63371
"722";22647;3010;"Follow up";2,494689;43,607672
"723";22645;3009;"Follow up";2,58264;49,16863
"724";22643;3008;"Follow up";2,53;49,224
"725";22641;3007;"Follow up";0,541238;45,507653
"726";22639;3006;"Follow up";0,23966;48,24421
"727";22637;3005;"Follow up";5,081901;48,782487
"728";21749;2068;"Follow up";5,599;48,689
"729";22635;3004;"Follow up";5,828861;43,346058
"730";21133;1602;"Follow up";1,837178;45,28438
"731";21463;1814;"Follow up";4,46735;50,68247
"732";21775;2085;"Follow up";5,21951;49,72489
"733";22633;3003;"Follow up";2,1299;47,4377
"734";21703;2026;"Follow up";2,56991944444444;43,555225
"735";21507;1854;"Follow up";6,398889;48,527222
"736";21539;1895;"Follow up";7,03333333;48,5569444
"737";22631;3001;"Follow up";11,2242;44,0576833
"738";21447;1795;"Follow up";3,659053;45,937092
"739";22629;3000;"Follow up";2,589421;43,601104
"740";22627;2999;"Follow up";2,195263;43,479187
"741";22625;2998;"Follow up";2,533181;43,626887
"742";22623;2997;"Follow up";2,77;43,614
"743";22621;2996;"Follow up";2,736;43,566
"744";22619;2995;"Follow up";2,675;43,636
"745";22617;2994;"Follow up";2,914576;43,649565
"746";22615;2993;"Follow up";3,247;43,81
"747";22613;2991;"Follow up";2,760036;43,457981
"748";21663;1989;"Follow up";1,981519;45,287731
"749";22611;2990;"Follow up";1,218065;49,79979
"750";21359;1720;"Follow up";-79,6247747564219;-5,66373885747239
"751";22609;2989;"Follow up";1,440884;50,034265
"752";21789;2100;"Follow up";2,521142;43,589243
"753";22607;2988;"Follow up";1,911519;45,249031
"754";22605;2987;"Follow up";2,318073;45,371467
"755";21457;1804;"Follow up";0,108516;46,499336
"756";22603;2986;"Follow up";2,57706;45,652163
"757";22601;2985;"Follow up";3,58783;44,391138
"758";21793;2110;"Follow up";3,380957;44,499168
"759";22599;2984;"Follow up";3,893924;44,374254
"760";22597;2983;"Follow up";3,449;44,486
"761";21797;2113;"Follow up";2,317;42,832
"762";21731;2059;"Follow up";0,792615;43,678918
"763";22595;2982;"Follow up";11,64383888;43,9496861
"764";22593;2981;"Follow up";4,619319;45,806063
"765";22591;2980;"Follow up";47,53341;-18,73702
"766";22589;2979;"Follow up";1,9696;47,6088
"767";22587;2978;"Follow up";4,10671;47,20182
"768";22585;2977;"Follow up";3,804649;45,203755
"769";22583;2976;"Follow up";2,469461;43,577909
"770";21605;1941;"Follow up";1,116701;46,039001
"771";21567;1916;"Follow up";3,192933;46,503491
"772";21743;2065;"Follow up";6,535022;52,238693
"773";21307;1694;"Follow up";6,53627;52,23047
"774";22581;2975;"Follow up";4,0993;48,0938
"775";22579;2974;"Follow up";2,577624;43,908174
"776";22577;2973;"Follow up";3,55061;45,54
"777";21615;1949;"Follow up";1,712988;48,64198
"778";22575;2972;"Follow up";5,9765;50,0118
"779";22573;2971;"Follow up";0,806021;46,63477
"780";21763;2078;"Follow up";5,308199;46,044794
"781";21461;1806;"Follow up";4,430527;45,398455
"782";22571;2970;"Follow up";4,463372;45,377342
"783";22569;2969;"Follow up";6,0606;50,0427
"784";21651;1978;"Follow up";-0,080101;48,781522
"785";22567;2968;"Follow up";0,502305555555556;46,43425
"786";22565;2967;"Follow up";-1,02608333333333;44,2735556
"787";21635;1963;"Follow up";-0,493612;48,669131
"788";21697;2022;"Follow up";2,373487;50,374235
"789";21773;2084;"Follow up";6,3811875;50,083637
